Year,Road_width,Location_Access,Governmentrate,Inflation_rate,Commercial-rate,Area,Earthen,Pitch,Goreto,Gravelled,paved,Commercial,Residential,Kathmandu,Lalitpur,Places
2.5,3.280839895,2,2.5,0.0904,10,1.88,0,1,0,0,0,0,1,1,0,Kathmandu
4,1.312335958,3,1.5,0.093,7.5,2.5,0,0,1,0,0,0,1,1,0,Kathmandu
3.5,5.380577428,20,1.8,0.0721,5,3.75,1,0,0,0,0,0,1,0,0,Bhaktapur
2.666666667,1.312335958,2.5,1,0.0904,5,3.75,0,0,1,0,0,0,1,1,0,Kathmandu
1.166666667,3.937007874,15,4,0.0987,4.544484849,4.125,1,0,0,0,0,0,1,1,0,Kathmandu
3,1.312335958,0.5,1,0.0721,4.5,4.14,0,0,1,0,0,0,1,1,0,Kathmandu
1.416666667,3.937007874,3,2.3,0.0987,4.505454546,4.125,0,1,0,0,0,0,1,1,0,Kathmandu
2.583333333,4.304461942,5,3,0.0904,5.5,3.37,1,0,0,0,0,0,1,1,0,Kathmandu
4,6.456692913,5,14.437,0.093,0.5,37,1,0,0,0,0,0,1,1,0,Kathmandu
2.416666667,1.312335958,4,1.65,0.0904,8,2.31,0,0,1,0,0,0,1,1,0,Kathmandu
3,1.312335958,3,3,0.0721,6,3.08,0,0,1,0,0,0,1,1,0,Kathmandu
4.166666667,4.304461942,3,2,0.093,5.5,3.36,1,0,0,0,0,0,1,0,0,Bhaktapur
1.583333333,5.905511811,20,0.175,0.0987,0.499695638,36.9625,0,1,0,0,0,0,1,0,0,Bhaktapur
3.75,4.304461942,10,3,0.0721,8,2.3,1,0,0,0,0,0,1,1,0,Kathmandu
1,0.984251969,3,2.75,0.0987,19.98642227,0.920625,0,0,1,0,0,0,1,1,0,Kathmandu
3,3.608923885,7,2.25,0.067,3.5,5.25,1,0,0,0,0,1,0,1,0,Kathmandu
4,6.456692913,2,3,0.093,5.15,3.56,0,0,0,1,0,0,1,1,0,Kathmandu
1.083333333,7.217847769,,5.5,0.0987,14.93877551,1.225,0,1,0,0,0,1,0,1,0,Kathmandu
1,3.280839895,15,0.6,0.0987,2.000964121,9.075625,0,0,1,0,0,0,1,1,0,Kathmandu
3.25,3.937007874,1,6,0.0721,6,3,1,0,0,0,0,0,1,1,0,Kathmandu
3.333333333,3.280839895,3,3,0.0721,6,3,1,0,0,0,0,0,1,1,0,Kathmandu
2.416666667,3.937007874,5,2.1,0.0904,6,3,1,0,0,0,0,1,0,1,0,Kathmandu
4.166666667,3.280839895,5,0.9,0.093,4.5,4,0,0,1,0,0,0,1,0,0,Bhaktapur
